County,Agency
Nassau,Nassau County State Police
Rensselaer,Rensselaer County State Police
Greene,Catskill Vg PD
Ulster,County Total
Orange,Monroe Vg PD
Steuben,Painted Post Vg PD
Westchester,Tarrytown Vg PD
Genesee,Genesee County State Police
Oneida,Vernon Vg PD
Essex,Lake Placid Vg PD
Wyoming,Wyoming County Sheriff
Nassau,Lynbrook Vg PD
Oneida,Rome City PD
Schenectady,Schenectady County Sheriff
Oneida,Whitestown Town PD
Dutchess,Fishkill Vg PD
Sullivan,County Total
Albany,Menands Vg PD
Schuyler,County Total
Oneida,County Total
Onondaga,Baldwinsville Vg PD
Dutchess,Dutchess County Park PD
Steuben,Addison Vg PD
Suffolk,Southampton Vg PD
Cayuga,Cayuga County Park PD
Jefferson,Alexandria Bay Vg PD
Albany,Ravena Vg PD
Washington,County Total
Rockland,Rockland County (RR-CSX)
Genesee,Genesee County Park PD
Montgomery,Canajoharie Vg PD
Montgomery,Amsterdam City PD
St Lawrence,Ogdensburg City PD
Monroe,Greece Town PD
Lewis,Lowville Vg PD
Dutchess,Hyde Park Town PD
Suffolk,Asharoken Vg PD
Westchester,Buchanan Vg PD
Monroe,Greece Town PD
Greene,Hunter Town PD
Wayne,Macedon Town and Vg PD
Tompkins,Cornell University Police
Dutchess,Red Hook Vg PD
Tompkins,Groton Vg PD
Chautauqua,Westfield Vg PD
Erie,Lackawanna City PD
Saratoga,Waterford Town and Vg PD
Montgomery,County Total
Albany,Watervliet City PD
Monroe,Ogden Town PD
Allegany,Bolivar Vg PD
Steuben,Hornell City PD
Orange,Orange County Park PD
Suffolk,Sag Harbor Vg PD
Westchester,Greenburgh Town PD
Ulster,SUNY College at New Paltz
Schenectady,Rotterdam Town PD
Orleans,Albion Vg PD
Genesee,Batavia City PD
Delaware,SUNY College At Delhi
Franklin,County Total
Madison,Canastota Vg PD
Putnam,Kent Town PD
Orleans,Orleans County Sheriff
Washington,Washington County State Police
St Lawrence,Canton Vg PD
Kings,County Total
Schenectady,Niskayuna Town PD
Erie,Brant Town PD
Delaware,Hancock Vg PD
Madison,Chittenango Vg PD
Onondaga,Syracuse City PD
Westchester,Pelham Manor Vg PD
Wyoming,Attica Vg PD
Saratoga,Ballston Spa Vg PD
Allegany,Andover Vg PD
Onondaga,North Syracuse Vg PD
Clinton,Clinton County Sheriff
Schoharie,Schoharie Vg PD
Ulster,Saugerties Town PD
Orleans,Orleans County Park PD
Washington,Washington County State Police
Greene,Durham Town PD
Nassau,Rockville Centre Vg PD
Livingston,Avon Vg PD
Essex,County Total
Broome,Port Dickinson Vg PD
Ulster,Woodstock Town PD
Niagara,Niagara Town PD
Nassau,Nassau County (RR-LI)
Nassau,Garden City Vg PD
Steuben,Steuben County State Police
Washington,Granville Vg PD
Tompkins,Ithaca City PD
Onondaga,DeWitt Town PD
Onondaga,Skaneateles Vg PD
Dutchess,County Total
Orange,Orange County MTA
Washington,County Total
Otsego,County Total
Albany,Colonie Town PD
Niagara,Niagara County State Police
Warren,County Total
Schenectady,Glenville Town PD
Herkimer,Herkimer County State Police
Madison,Madison County Park PD
Wyoming,County Total
Seneca,Seneca County Sheriff
Chautauqua,Chautauqua County State Police
Orange,Orange County State Police
Orange,Montgomery Town PD
Madison,Oneida City PD
Cattaraugus,Allegany Vg PD
Suffolk,Suffolk County Park PD
Greene,County Total
Delaware,Delaware County Sheriff
Rockland,Orangetown Town PD
Montgomery,Canajoharie Vg PD
Fulton,Johnstown City PD
Jefferson,West Carthage Vg PD
Jefferson,Jefferson County Park PD
Orange,Cornwall-on-Hudson Vg PD
Cortland,Cortland County State Police
Tompkins,Tompkins County Sheriff
Westchester,Scarsdale Vg PD
Westchester,Buchanan Vg PD
Orange,Harriman Vg PD
Allegany,Wellsville Vg PD
Oneida,Oneida County Park PD
Clinton,Clinton County State Police
Greene,Greene County State Police
Erie,Eden Town PD
Onondaga,Cicero Town PD
Saratoga,County Total
Niagara,Lewiston Town PD
Suffolk,Nissequogue Vg PD
Columbia,Hudson City PD
Suffolk,Northport Vg PD
Erie,Angola Vg PD
Suffolk,Suffolk County Park PD
Cortland,Cortland County State Police
Greene,Windham Town PD
Madison,Madison County State Police
Putnam,Putnam County Sheriff
Rockland,Suffern Vg PD
Dutchess,East Fishkill Town PD
Orange,Montgomery Vg PD
Warren,Warren County Sheriff
Tompkins,Tompkins County State Police
Wayne,Wolcott Vg PD
Schuyler,County Total
Allegany,Cuba Town PD
Westchester,Ossining Vg PD
Steuben,Steuben County Sheriff
Nassau,Kings Point Vg PD
Dutchess,Dutchess County Sheriff
Washington,Cambridge Vg PD
Seneca,County Total
Rensselaer,Rensselaer City PD
Orleans,Orleans County Sheriff
Rockland,County Total
Orange,Goshen Town PD
Orange,Orange County MTA
Onondaga,Baldwinsville Vg PD
Otsego,Oneonta City PD
Livingston,Livingston County Sheriff
Westchester,North Castle Town PD
Erie,SUNY College At Buffalo
Steuben,Steuben County Sheriff
Westchester,Scarsdale Vg PD
Sullivan,County Total
Ulster,Kingston City PD
Montgomery,Canajoharie Vg PD
Dutchess,Dutchess County MTA
Yates,Penn Yan Vg PD
Albany,SUNY - Albany
Columbia,Hudson City PD
Westchester,Peekskill City PD
Cayuga,Port Byron Vg PD
Lewis,Lewis County Sheriff
Albany,Menands Vg PD
Ulster,Woodstock Town PD
Herkimer,Herkimer County State Police
Suffolk,Westhampton Beach Vg PD
Ulster,Shawangunk Town PD
Suffolk,Ocean Beach Vg PD
Wyoming,Perry Vg PD
Nassau,Cove Neck Vg PD
Columbia,Greenport Town PD
Erie,Tonawanda Town PD
Yates,County Total
Oneida,County Total
Madison,Oneida City PD
Ontario,Clifton Springs Vg PD
Erie,Angola Vg PD
Wyoming,Attica Vg PD
Erie,Hamburg Town PD
Chenango,New Berlin Town PD
Livingston,Livingston County State Police
Cattaraugus,Cattaraugus County (RR-RC)
Suffolk,SUNY College at Farmingdale
Oneida,Whitesboro Vg PD
Chemung,Chemung County State Police
Westchester,Tuckahoe Vg PD
Schenectady,Glenville Town PD
Washington,Washington County State Police
Erie,Akron Vg PD
Franklin,Tupper Lake Vg PD
Steuben,Bath Vg PD
Clinton,Clinton County State Police
Jefferson,Brownville Vg PD
Greene,Windham Town PD
Ulster,Ulster Town PD
Washington,Greenwich Vg PD
Wayne,Wayne County Sheriff
Broome,SUNY - Binghamton
St Lawrence,St Lawrence County State Police
Erie,Angola Vg PD
Onondaga,Cicero Town PD
Niagara,Niagara Falls City PD
Orange,Orange County MTA
Onondaga,Camillus Town and Vg PD
Ulster,Kingston City PD
Jefferson,Jefferson County State Police
Schenectady,Schenectady County (RR-CSX)
Niagara,Niagara County Sheriff
Clinton,Plattsburgh City PD
Dutchess,Poughkeepsie City PD
Madison,SUNY College at Morrisville
Essex,County Total
Nassau,SUNY College At Old Westbury
Greene,Windham Town PD
Westchester,Hastings-on-Hudson Vg PD
Seneca,Seneca County State Police
Orange,Highlands Town PD
Steuben,County Total
Cortland,Mcgraw Vg PD
Rensselaer,Hoosick Falls Vg PD
Cattaraugus,Cattaraugus Vg PD
Suffolk,East Hampton Town PD
Wayne,Wolcott Vg PD
Madison,Chittenango Vg PD
Greene,Catskill Vg PD
Ulster,Lloyd Town PD
Westchester,Elmsford Vg PD
Jefferson,Dexter Vg PD
Greene,County Total
Westchester,Tuckahoe Vg PD
Niagara,Middleport Vg PD
Rockland,Stony Point Town PD
Orange,Chester Town PD
Chautauqua,Silver Creek Vg PD
Dutchess,Dutchess County Sheriff
Allegany,Rushford Town PD
Herkimer,Frankfort Vg PD
St Lawrence,Ogdensburg City PD
Chenango,Greene Vg PD
Seneca,Seneca County Sheriff
Ulster,Ulster County State Police
Erie,West Seneca Town PD
Suffolk,County Total
Dutchess,Fishkill Vg PD
Cattaraugus,Franklinville Vg PD
Broome,Broome County Park PD
Albany,Altamont Vg PD
Warren,County Total
Saratoga,Saratoga County Park PD
Yates,Yates County Park PD
Sullivan,Monticello Vg PD
Wayne,Lyons Vg PD
Albany,Cohoes City PD
Jefferson,Jefferson County State Police
Rensselaer,North Greenbush Town PD
Oswego,Fulton City PD
Putnam,Putnam County MTA
Greene,Athens Vg PD
Westchester,New Castle Town PD
Rensselaer,Rensselaer County Park PD
Erie,Eden Town PD
Greene,Cairo Town PD
Orange,Orange County Sheriff
Montgomery,Fort Plain Vg PD
Delaware,Delaware County (RR-D and H)
Westchester,Westchester County (RR-CSX)
Erie,Evans Town PD
Suffolk,East Hampton Town PD
St Lawrence,Canton Vg PD
Nassau,Nassau County PD
Rensselaer,Hoosick Falls Vg PD
Westchester,Croton-Kensico PCT (NYC-BWSP)
Nassau,Old Brookville Vg PD
Cattaraugus,Ellicottville Town PD
Saratoga,Mechanicville City PD
Orange,Highland Falls Vg PD
Schenectady,Schenectady County Sheriff
Tioga,Waverly Vg PD
Nassau,Nassau County State Police
Onondaga,Camillus Town and Vg PD
Warren,Warren County State Police
Rockland,Piermont Vg PD
Dutchess,Dutchess County Sheriff
Albany,Coeymans Town PD
Otsego,Oneonta City PD
Sullivan,Fallsburg Town PD
Chautauqua,Jamestown City PD
Albany,Albany County Park PD
Greene,Greene County Sheriff
Suffolk,Suffolk County Park Police
Wyoming,Attica Vg PD
Albany,Green Island Vg PD
Franklin,Tupper Lake Vg PD
Ulster,Saugerties Vg PD
Hamilton,Inlet Town PD
Nassau,Kings Point Vg PD
Onondaga,SUNY - Upstate Medical Center
Erie,Buffalo City PD
Tompkins,Ithaca City PD
Wayne,County Total
Westchester,Mount Pleasant Town PD
Albany,Coeymans Town PD
Seneca,Seneca County Park PD
Ontario,Ontario County Park PD
Allegany,Friendship Town PD
Jefferson,Jefferson County Sheriff
Ulster,Shawangunk Town PD
Cortland,SUNY College At Cortland
Putnam,Cold Spring Vg PD
Allegany,Alfred Vg PD
Albany,Albany County Sheriff
Livingston,Geneseo Vg PD
Nassau,Hempstead Vg PD
Madison,Hamilton Vg PD
Ulster,Ulster Town PD
Onondaga,Marcellus Vg PD
Delaware,Delaware County Sheriff
Westchester,Tuckahoe Vg PD
Greene,Greene County State Police
Suffolk,Huntington Bay Vg PD
Westchester,Hastings-on-Hudson Vg PD
Ulster,Shandaken Town PD
Monroe,Monroe County Park PD
Rockland,Rockland County Sheriff
Onondaga,Liverpool Vg PD
Cattaraugus,Portville Vg PD
St Lawrence,Norwood Vg PD
Lewis,Lewis County State Police
Westchester,Bedford Town PD
Westchester,Bronxville Vg PD
Montgomery,Amsterdam City PD
Schuyler,Schuyler County State Police
Onondaga,Skaneateles Vg PD
Dutchess,Pine Plains Town PD
Ulster,Marlborough Town PD
Herkimer,Mohawk Vg PD
Dutchess,Dutchess County State Police
Oneida,Kirkland Town PD
Niagara,Lewiston Town PD
Westchester,Hastings-on-Hudson Vg PD
Allegany,Belmont Vg PD
Delaware,Delaware County State Police
Montgomery,Canajoharie Vg PD
Wyoming,Arcade Vg PD
Washington,Whitehall Vg PD
Monroe,Monroe County State Police
Cortland,Cortland County Sheriff
Cattaraugus,Cattaraugus County State Police
Schoharie,Schoharie County Sheriff
Suffolk,Southold Town PD
Chautauqua,Chautauqua County Sheriff
Ontario,Geneva City PD
Ontario,Clifton Springs Vg PD
Monroe,Gates Town PD
Madison,Earlville Vg PD
Steuben,Addison Vg PD
Erie,Tonawanda City PD
Greene,Coxsackie Vg PD
Westchester,Ardsley Vg PD
Broome,Special Investigator Task Force
Putnam,Carmel Town PD
Herkimer,Ilion Vg PD
Monroe,Monroe County Sheriff
Herkimer,Mohawk Vg PD
Niagara,Lewiston Town PD
Nassau,Lake Success Vg PD
Suffolk,Riverhead Town PD
Oneida,Utica City PD
Franklin,Franklin County State Police
Chemung,Elmira Heights Vg PD
Tompkins,Cayuga Heights Vg PD
Onondaga,Onondaga County State Police
Jefferson,Adams Vg PD
Nassau,Kings Point Vg PD
Oswego,Fulton City PD
Jefferson,Dexter Vg PD
Madison,Chittenango Vg PD
Nassau,Rockville Centre Vg PD
Cattaraugus,Franklinville Vg PD
Tompkins,Dryden Vg PD
Broome,Broome County Park PD
Erie,SUNY - Buffalo
Broome,Port Dickinson Vg PD
Livingston,Dansville Vg PD
Allegany,Belmont Vg PD
Rockland,Rockland County MTA
Wayne,Wayne County State Police
Westchester,Buchanan Vg PD
Orange,Port Jervis City PD
Schenectady,Glenville Town PD
Erie,SUNY - Buffalo
Allegany,Wellsville Vg PD
Cayuga,Port Byron Vg PD
Westchester,Irvington Vg PD
Westchester,North Castle Town PD
Suffolk,Shelter Island Town PD
Chemung,Chemung County State Police
Tompkins,Freeville Vg PD
Franklin,Saranac Lake Vg PD
Nassau,Port Washington Police District
Columbia,Hudson City PD
Madison,Madison County Sheriff
Wyoming,Wyoming County State Police
Chemung,Southport Town PD
Clinton,Rouses Point Vg PD
Yates,Yates County State Police
Onondaga,Onondaga County Sheriff
Chautauqua,Fredonia Vg PD
Cayuga,Cayuga County (RR-RC)
Ulster,Plattekill Town PD
Orange,Wallkill Town PD
Greene,Athens Vg PD
Washington,Greenwich Vg PD
Nassau,Glen Cove City PD
Allegany,Angelica Vg PD
Saratoga,Saratoga County State Police
Dutchess,Fishkill Vg PD
Oneida,Vernon Vg PD
Livingston,Caledonia Vg PD
Oneida,Boonville Vg PD
Chemung,Chemung County Sheriff
Oneida,Whitestown Town PD
Dutchess,Poughkeepsie Town PD
Nassau,Nassau County Park PD
Schuyler,Watkins Glen Vg PD
Oneida,Yorkville Vg PD
Franklin,Saranac Lake Vg PD
Oswego,Phoenix Vg PD
Orange,Montgomery Town PD
Livingston,Nunda Town and Vg PD
Orleans,Albion Vg PD
Warren,Glens Falls City PD
Suffolk,Amityville Vg PD
Westchester,SUNY College At Purchase
Montgomery,Amsterdam City PD
Chautauqua,County Total
Broome,Broome County Sheriff
Onondaga,Jordan Vg PD
Orange,Monroe Vg PD
Steuben,Cohocton Town PD
Orleans,Holley Vg PD
Nassau,Nassau County Park PD
Suffolk,Northport Vg PD
Ulster,Lloyd Town PD
Greene,Windham Town PD
Wyoming,Perry Vg PD
Yates,Yates County Park PD
Yates,Yates County Sheriff
Washington,Washington County Sheriff
Chenango,Norwich City PD
Orange,Montgomery Vg PD
Westchester,Ossining Town PD
Ontario,Phelps Vg PD
Livingston,Mount Morris Vg PD
Lewis,Lewis County Sheriff
Westchester,Westchester County State Police
Broome,Broome County Park PD
Westchester,Larchmont Vg PD
Wayne,Newark Vg PD
Ulster,Kingston City PD
Westchester,Yorktown Town PD
Onondaga,Baldwinsville Vg PD
Suffolk,Ocean Beach Vg PD
Columbia,Stockport Town PD
Tompkins,Cayuga Heights Vg PD
Warren,Warren County Sheriff
Oswego,Pulaski Vg PD
Herkimer,Mohawk Vg PD
Suffolk,Head-of-the-Harbor Vg PD
Suffolk,Southampton Vg PD
Orange,Blooming Grove Town PD
Orange,County Total
Chenango,Norwich City PD
Madison,Earlville Vg PD
Columbia,Columbia County State Police
Franklin,Saranac Lake Vg PD
Madison,Oneida City PD
Orange,Cornwall Town PD
Chemung,Horseheads Vg PD
Orange,Highland Falls Vg PD
Ulster,Ellenville Vg PD
Erie,Eden Town PD
Albany,Cohoes City PD
Erie,Brant Town PD
Ulster,Shandaken Town PD
Saratoga,Waterford Town and Vg PD
Suffolk,East Hampton Vg PD
Orleans,Medina Vg PD
Oswego,Oswego County Sheriff
St Lawrence,SUNY College At Potsdam
Greene,Windham Town PD
Niagara,Niagara County Park PD
Montgomery,Montgomery County Sheriff
Westchester,Greenburgh Town PD
Nassau,Old Brookville Vg PD
Schoharie,County Total
Monroe,Brockport Vg PD
Steuben,Hornell City PD
Westchester,Port Chester Vg PD
Monroe,Brighton Town PD
Broome,SUNY - Binghamton
Oneida,SUNY College At Utica/Rome
Cayuga,Auburn City PD
Chautauqua,Silver Creek Vg PD
Allegany,Alfred Vg PD
Rensselaer,Rensselaer County Park PD
Montgomery,Amsterdam City PD
Schoharie,Cobleskill Vg PD
Orange,Highlands Town PD
Putnam,County Total
Westchester,Scarsdale Vg PD
Albany,Coeymans Town PD
Jefferson,Dexter Vg PD
Orange,Orange County Sheriff
Suffolk,Asharoken Vg PD
Columbia,Hudson City PD
Erie,Erie County (RR-D and H)
Fulton,Northville Vg PD
Clinton,Plattsburgh City PD
Suffolk,SUNY - Stony Brook
Orleans,Orleans County State Police
Westchester,County Total
St Lawrence,Ogdensburg City PD
Allegany,Alfred Vg PD
Tioga,Owego Vg PD
Erie,Lackawanna City PD
Putnam,Putnam County State Police
Ulster,New Paltz Town and Vg PD
Cayuga,Cayuga County Sheriff
Franklin,Tupper Lake Vg PD
Wayne,Newark Vg PD
Rockland,Rockland County Sheriff
Clinton,Clinton County Sheriff
Lewis,County Total
Nassau,Lynbrook Vg PD
Westchester,Tarrytown Vg PD
Herkimer,Herkimer County (RR-CSX)
Wayne,Wayne County Park PD
Rockland,Rockland County State Police
Allegany,Bolivar Vg PD
Jefferson,Jefferson County Sheriff
Cayuga,Cayuga County State Police
Steuben,Steuben County Park PD
Madison,Madison County Sheriff
Steuben,Addison Vg PD
Orange,Orange County MTA
Orange,Crawford Town PD
Putnam,Carmel Town PD
Cattaraugus,Allegany Vg PD
Wayne,Wayne County Sheriff
Schoharie,SUNY College At Cobleskill
Westchester,Irvington Vg PD
Oneida,Whitesboro Vg PD
Dutchess,Fishkill Vg PD
Westchester,Westchester County Park PD
Niagara,Niagara County Sheriff
Sullivan,Woodridge Vg PD
Nassau,Kings Point Vg PD
Oneida,Utica City PD
Westchester,Pleasantville Vg PD
Chenango,Chenango County Park PD
Dutchess,East Fishkill Town PD
Madison,Madison County State Police
Dutchess,East Fishkill Town PD
Nassau,Garden City Vg PD
Nassau,SUNY College At Old Westbury
Seneca,Waterloo Vg PD
Seneca,Seneca Falls Vg PD
Erie,County Total
Madison,Cazenovia Vg PD
Westchester,Sleepy Hollow Vg PD
Westchester,Mamaroneck Vg PD
Broome,Broome County Sheriff
Westchester,Mount Kisco Vg PD
Ulster,County Total
Oswego,Oswego County Park PD
Cayuga,Port Byron Vg PD
Allegany,Belmont Vg PD
Washington,Washington County Sheriff
Dutchess,Fishkill Vg PD
Albany,County Total
Nassau,Oyster Bay Cove Vg PD
Ontario,Canandaigua City PD
Suffolk,Asharoken Vg PD
Albany,Albany County (RR-RC)
Westchester,New Castle Town PD
Lewis,Lewis County Sheriff
Onondaga,Liverpool Vg PD
Broome,SUNY - Binghamton
Oswego,SUNY College At Oswego
Oneida,County Total
Essex,Ticonderoga Town PD
Oswego,Oswego County State Police
Otsego,Otsego County Sheriff
Onondaga,DeWitt Town PD
Clinton,Rouses Point Vg PD
Greene,Catskill Vg PD
Orange,Wallkill Town PD
Montgomery,Montgomery County (RR-CSX)
Greene,County Total
Clinton,Clinton County Sheriff
Westchester,Pelham Manor Vg PD
Orange,Port Jervis City PD
Oswego,County Total
Schenectady,County Total
Nassau,Port Washington Police District
Onondaga,SUNY College-Env. Science and Forestry
Livingston,Dansville Vg PD
Orange,Orange County Park PD
Rockland,Ramapo Town PD
Hamilton,Hamilton County State Police
Otsego,Otsego County Sheriff
Westchester,Yorktown Town PD
Jefferson,Adams Vg PD
Niagara,Niagara County Sheriff
Jefferson,Alexandria Bay Vg PD
Greene,Greene County Sheriff
Erie,Akron Vg PD
Niagara,Lewiston Town PD
Suffolk,Westhampton Beach Vg PD
Essex,County Total
Madison,Madison County Sheriff
Steuben,Canisteo Vg PD
Dutchess,Hyde Park Town PD
Dutchess,Dutchess County State Police
Columbia,Stockport Town PD
Suffolk,Suffolk County Park Police
Oneida,New Hartford Town and Vg PD
Albany,Watervliet City PD
Erie,East Aurora-Town Of Aurora PD
Erie,Lancaster Vg PD
Westchester,Elmsford Vg PD
Broome,SUNY - Binghamton
Rensselaer,East Greenbush Town PD
Westchester,Pleasantville Vg PD
Herkimer,Herkimer County Sheriff
Fulton,County Total
Rockland,Stony Point Town PD
Steuben,Corning City PD
Madison,Earlville Vg PD
Orange,Newburgh City PD
Rensselaer,Nassau Vg PD
Erie,Kenmore Vg PD
Fulton,Fulton County Sheriff
Putnam,Putnam County State Police
Ontario,Canandaigua City PD
Saratoga,Mechanicville City PD
Broome,Deposit Vg PD
Sullivan,Fallsburg Town PD
Orange,Wallkill Town PD
Chenango,Oxford Vg PD
Genesee,Genesee County (RR-RC)
Westchester,Ardsley Vg PD
Cayuga,Moravia Vg PD
Cortland,Cortland County State Police
Nassau,Rockville Centre Vg PD
Ulster,Ellenville Vg PD
Westchester,Irvington Vg PD
Dutchess,Millerton Vg PD
Madison,Canastota Vg PD
Ulster,Rosendale Town PD
Erie,Amherst Town PD
Dutchess,Dutchess County Sheriff
Montgomery,Amsterdam City PD
Erie,SUNY College At Buffalo
Chemung,Chemung County Sheriff
Ulster,Saugerties Vg PD
Onondaga,Cicero Town PD
Sullivan,Woodridge Vg PD
Tompkins,Freeville Vg PD
Kings,County Total
Putnam,Putnam County Park PD
Niagara,Niagara County Sheriff
Columbia,Germantown Town PD
Cayuga,Port Byron Vg PD
Suffolk,Huntington Bay Vg PD
Nassau,Nassau County State Police
Madison,Chittenango Vg PD
Orange,Harriman Vg PD
Suffolk,Southampton Town PD
Steuben,Hammondsport Vg PD
Sullivan,County Total
Dutchess,Hyde Park Town PD
Madison,Earlville Vg PD
Delaware,Delaware County State Police
Genesee,Genesee County State Police
Orange,Orange County Park PD
Franklin,Franklin County Sheriff
Nassau,Glen Cove City PD
Putnam,Putnam County State Police
Erie,Erie County Sheriff
Allegany,Angelica Vg PD
Oneida,Camden Vg PD
Albany,Albany County Sheriff
Broome,County Total
Washington,Washington County Sheriff
